,,,,,,
Item No.,Part No.,Part Name,Qty.,Supplier,Unit Cost,Total Cost
1,3D-001,3d printed y-axis chamber,1,3d printing service / at home printing,N/A,N/A
2,3D-002,3d printed x-axis bearing peg,2,3d printing service / at home printing,N/A,N/A
3,3D-003,3d printed y-axis bearing peg,1,3d printing service / at home printing,N/A,N/A
4,3D-004,3d printed main chassis,1,3d printing service / at home printing,N/A,N/A
5,3D-005,3d printed shift gate,1,3d printing service / at home printing,N/A,N/A
6,3D-006,3d printed y-axis bearing holder,1,3d printing service / at home printing,N/A,N/A
7,3D-007,3d printed shift knob,1,3d printing service / at home printing,N/A,N/A
8,3D-008,3d printed clamp head,1,3d printing service / at home printing,N/A,N/A
9,3D-009,3d printed clamp body,1,3d printing service / at home printing,N/A,N/A
10,BR-001,608 series bearing,4,aliexpress,£0.44,£4.35 (10pcs)
11,BR-002,625 series bearing,2,aliexpress,£0.37,£3.68 (10pcs)
12,MNT-001,m3x5mm bolt,4,accu,£0.27,£1.08
13,MNT-002,m4 nut,8,accu,£0.18,£1.44
14,MNT-003,m6 washers,8,accu,£0.19,£1.52
15,MNT-004,m4x10mm bolt,15,accu,£0.15,£2.25
16,MNT-005,m5 nut,2,accu,£0.43,£0.86
17,MNT-006,m5x10mm bolt,2,accu,£0.49,£0.98
18,MNT-007,m10 washer,1,accu,£0.82,£0.82
19,MNT-008,m10 nut,1,accu,£1.01,£1.01
20,SPR-001,"25mm long, 5mm diameter springs",2,aliexpress,£0.29,£2.89 (10pcs)
21,SPR-002,"45mm long, 5mm diameter springs",2,aliexpress,£0.37,£3.73 (10pcs)
22,SPR-003,"20mm long, 11mm diameter spring",1,aliexpress,£0.26,£2.59 (10pcs)
23,MSC-001,200mm m10 threaded rod,1,aliexpress,£4.31,£4.31
24,MSC-002,kw13-2 limit switches,8,aliexpress,£0.16,£1.63
25,PCB-001,"a-shift pcb (if assembled, ignore the following parts)",1,jlcpcb with gerber files,£4,£4
26,PCB-002,CL21B105KBFNNNG 1uF capacitor,1,digikey,£0.09,£0.09
27,PCB-003,CL21C220JBANNNC 22pF capacitor,2,digikey,£0.08,£0.16
28,PCB-004,CL21B104KBCNNNC 0.1uF capacitor,4,digikey,£0.08,£0.32
29,PCB-005,1050170001 micro usb connector,1,digikey,£0.70,£0.70
30,PCB-006,RC0805FR-0710KL 10k ohm resistor,1,digikey,£0.08,£0.08
31,PCB-007,RC0805FR-0722RL 22 ohm resistor,2,digikey,£0.08,£0.16
32,PCB-008,1825910-6 tactile switch,1,digikey,£0.10,£0.10
33,PCB-009,ATMEGA32U4-AU microcontroller,1,digikey,£4.01,£4.01
34,PCB-010,ABM3-16.000MHZ-D2Y-T 16mhz crystal oscillator,1,digikey,£0.42,£0.42
