pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
70.25,-69.2,0.0,top,C1,,,C_0805_2012Metric,1uF,smt
76.199999,-76.26,90.0,top,C2,,,C_0805_2012Metric,22pF,smt
84.599999,-76.21,-90.0,top,C3,,,C_0805_2012Metric,22pF,smt
89.7,-70.45,90.0,top,C4,,,C_0805_2012Metric,0.1uF,smt
72.1,-75.05,90.0,bottom,C5,,,C_0805_2012Metric,0.1uF,smt
84.15,-57.7,0.0,top,C6,,,C_0805_2012Metric,0.1uF,smt
78.75,-57.8,180.0,top,C7,,,C_0805_2012Metric,0.1uF,smt
67.4,-59.0375,180.0,top,J1,,,USB_Micro-B_Molex-105017-0001,USB_B_Micro,smt
107.65,-68.3,0.0,top,J10,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND5,tht
107.65,-71.35,0.0,top,J11,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD4,tht
107.35,-96.03,0.0,top,J12,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND6,tht
107.35,-99.08,0.0,top,J13,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD5,tht
124.73,-68.07,0.0,top,J14,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND7,tht
124.73,-71.12,0.0,top,J15,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD6,tht
124.8,-96.33,0.0,top,J16,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND8,tht
124.8,-99.38,0.0,top,J17,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD7,tht
56.03,-69.03,0.0,top,J2,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND1,tht
56.03,-72.08,0.0,top,J3,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD0,tht
56.63,-95.88,0.0,top,J4,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND2,tht
56.63,-98.93,0.0,top,J5,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD1,tht
93.3,-68.68,0.0,top,J6,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND3,tht
93.3,-71.73,0.0,top,J7,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD2,tht
90.05,-95.95,0.0,top,J8,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,GND4,tht
90.05,-99.0,0.0,top,J9,,,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,PD3,tht
68.9,-74.3125,90.0,top,R1,,,R_0805_2012Metric,10k,smt
69.8875,-65.4,0.0,top,R2,,,R_0805_2012Metric,22,smt
69.9125,-63.5,0.0,top,R3,,,R_0805_2012Metric,22,smt
60.95,-81.15,90.0,top,SW1,,,SW_PUSH_6mm,SW_Push,tht
80.7,-66.4,0.0,top,U1,,,TQFP-44_10x10mm_P0.8mm,ATmega32U4-A,smt
80.399999,-76.31,180.0,top,Y2,,,Crystal_SMD_5032-2Pin_5.0x3.2mm,Crystal_GND3_Small,smt
